hero_x,hero_y,cnt
NIGHTHAWK II/KYLE RI,SUB-MARINER/NAMOR MA,36
WIZARD/BENTLEY WITTM,HUMAN TORCH/JOHNNY S,36
SCREAMING MIMI/MELIS,CHARCOAL/CHARLIE BUR,36
ENCHANTRESS/AMORA/HE,HEIMDALL [ASGARDIAN],36
ROGUE /,"SUMMERS, NATHAN CHRI",36
"CARTER, SHARON","DUGAN, TIMOTHY ALOYI",36
CAPTAIN AMERICA,JOCASTA,36
"FURY, COL. NICHOLAS ",HAWK,36
TALISMAN II/ELIZABET,AURORA/JEANNE-MARIE ,36
MARVEL GIRL/JEAN GRE,NIGHTCRAWLER/KURT WA,36
GEE/ALEX POWER,"RICHARDS, FRANKLIN B",36
THUNDERSTRIKE/ERIC K,"AUSTIN, SUSAN",36
MANTIS/? BRANDT,THOR/DR. DONALD BLAK,36
HAWK,CHARCOAL/CHARLIE BUR,36
THOR/DR. DONALD BLAK,HILDEGARDE [ASGARDIA,36
INVISIBLE WOMAN/SUE ,QUASAR III/WENDELL V,36
"JONES, RICHARD MILHO",VISION ,36
BANSHEE/SEAN CASSIDY,PHOENIX II,36
HUMAN TORCH ANDROID/,BUCKY/BUCKY BARNES,36
IRON MAN/TONY STARK ,"DUGAN, TIMOTHY ALOYI",36
SWORDSMAN/JACQUES DU,VISION ,36
PROFESSOR X/CHARLES ,QUICKSILVER/PIETRO M,36
DIAMOND LIL/LILLIAN ,SASQUATCH/WALTER LAN,36
"RICHARDS, FRANKLIN B",COUNTERWEIGHT II/KAT,35
ODIN [ASGARDIAN],HELA [ASGARDIAN],35
KRISTOFF/KRISTOFF VE,INVISIBLE WOMAN/SUE ,35
NAMORITA/NITA PRENTI,THING/BENJAMIN J. GR,35
BINARY/CAROL DANVERS,"JARVIS, EDWIN ",35
ICEMAN/ROBERT BOBBY ,GARGOYLE II/ISAAC CH,35
HULK/DR. ROBERT BRUC,ROGUE /,35
BETA RAY BILL,THOR/DR. DONALD BLAK,35
SUNSPOT/ROBERTO DACO,SHATTERSTAR II/GAVEE,35
"RICHARDS, FRANKLIN B",LIGHTSPEED/JULIE POW,35
DR. DOOM/VICTOR VON ,WASP/JANET VAN DYNE ,35
ANGEL/WARREN KENNETH,VISION ,35
ANT-MAN/DR. HENRY J.,DR. STRANGE/STEPHEN ,35
"WATSON-PARKER, MARY ","LEEDS, NED",35
CORSAIR,WOLVERINE/LOGAN ,35
FORGE,ANGEL/WARREN KENNETH,35
"RICHARDS, FRANKLIN B",COUNTERWEIGHT/JACK P,35
GUARDIAN/JAMES MACDO,AURORA/JEANNE-MARIE ,35
VISION ,"HARKNESS, AGATHA",35
MEGGAN,"WISDOM, PETER",35
CYCLOPS/SCOTT SUMMER,FIREFIST/RUSTY COLLI,35
WOLVERINE/LOGAN ,"FURY, COL. NICHOLAS ",35
SPIDER-MAN/PETER PAR,SHA SHAN,35
SUB-MARINER/NAMOR MA,TORO/TOM RAYMOND,35
"GRANT, GLORIA GLORY","PARKER, MAY",35
IRON MAN/TONY STARK ,LIVING LIGHTNING/MIG,35
LOCKHEED,WOLVERINE/LOGAN ,35
MAGNETO/MAGNUS/ERIC ,SCARLET WITCH/WANDA ,35
VISION ,CAPTAIN MARVEL/CAPTA,35
WASP/JANET VAN DYNE ,MOONDRAGON/HEATHER D,35
RAZA LONGKNIFE,CH'OD,35
CALIBAN/,BOOMER/TABITHA SMITH,35
PIP/PRINCE GOFERN,�GAMORA,35
ICEMAN/ROBERT BOBBY ,FORGE,35
NIGHTCRAWLER/KURT WA,CAPTAIN AMERICA,35
BEDLAM/JESSE AARONSO,CANNONBALL II/SAM GU,35
"LEEDS, BETTY BRANT",GREEN GOBLIN/NORMAN ,35
FORGE,CYCLOPS/SCOTT SUMMER,35
COLOSSUS II/PETER RA,INVISIBLE WOMAN/SUE ,35
WOLVERINE/LOGAN ,SUNSPOT/ROBERTO DACO,35
FIRESTAR/ANGELICA JO,TURBO II (A)/MICHIKO,35
SHE-HULK/JENNIFER WA,QUICKSILVER/PIETRO M,35
CAPTAIN AMERICA,MAGNETO/MAGNUS/ERIC ,35
SPIDER-MAN/PETER PAR,NIGHTCRAWLER/KURT WA,35
DR. STRANGE/STEPHEN ,HAWK,35
ZEUS,HERCULES [GREEK GOD],35
"MACTAGGERT, MOIRA KI",BEAST/HENRY &HANK& P,35
SPIDER-MAN/PETER PAR,MYSTERIO/QUENTIN BEC,35
SKIDS/SALLY BLEVINS,CYCLOPS/SCOTT SUMMER,35
HUMAN TORCH/JOHNNY S,NAMORITA/NITA PRENTI,35
MAGNETO/MAGNUS/ERIC ,ANGEL/WARREN KENNETH,35
SPIDER-MAN/PETER PAR,"MUGGINS, MAMIE",35
SPIDER-MAN/PETER PAR,ANGEL/WARREN KENNETH,35
SCARLET WITCH/WANDA ,DR. DOOM/VICTOR VON ,35
SCARLET WITCH/WANDA ,"FURY, COL. NICHOLAS ",35
FIREFIST/RUSTY COLLI,BEAST/HENRY &HANK& P,35
MIRAGE II/DANIELLE M,COLOSSUS II/PETER RA,35
MOONSTONE II/KARLA S,CITIZEN V II/HELMUT ,35
FALCON/SAM WILSON,SCARLET WITCH/WANDA ,35
"NORRISS, SISTER BARB",HELLSTORM/DAIMON HEL,34
"HODGE, CAMERON",MARVEL GIRL/JEAN GRE,34
"GYRICH, HENRY PETER",CAPTAIN AMERICA,34
"ROSS, EVERETT KENNET",BLACK PANTHER/T'CHAL,34
CH'OD,MAM'SELLE HEPZIBAH,34
RAGE/ELVIN DARYL HAL,FIRESTAR/ANGELICA JO,34
WOLFSBANE/RAHNE SINC,MEGGAN,34
CAPTAIN BRITAIN/BRIA,"MACTAGGERT, MOIRA KI",34
MARVEL GIRL/JEAN GRE,RICTOR/JULIO ESTEBAN,34
"STUART, DR. ALISTAIR",PHOENIX III/RACHEL S,34
SUNSPOT/ROBERTO DACO,COLOSSUS II/PETER RA,34
CORSAIR,PROFESSOR X/CHARLES ,34
CAPTAIN MARVEL/CAPTA,CAPTAIN AMERICA,34
BEAST/HENRY &HANK& P,RICTOR/JULIO ESTEBAN,34
STORM/ORORO MUNROE S,CORSAIR,34
SUB-MARINER/NAMOR MA,ATTUMA,34
ICEMAN/ROBERT BOBBY ,"TILBY, TRISH/PATRICI",34
SPIDER-MAN/PETER PAR,ARRANGER/,34
"CABE, BETHANY",IRON MAN IV/JAMES R.,34
INVISIBLE WOMAN/SUE ,NOVA II/FRANKIE RAYE,34
TORO/TOM RAYMOND,BUCKY/BUCKY BARNES,34
SPIDER-MAN/PETER PAR,SILVER SURFER/NORRIN,34
MR. FANTASTIC/REED R,WIZARD/BENTLEY WITTM,34
"HUDSON, HEATHER",BOX/ROGER BOCHS,34
HUMAN TORCH/JOHNNY S,"JAMESON, J. JONAH",34
WOLVERINE/LOGAN ,WASP/JANET VAN DYNE ,34
MARVEL GIRL/JEAN GRE,FIREFIST/RUSTY COLLI,34
THANOS,WARLOCK II/ADAM WARL,34
"HODGE, CAMERON",CYCLOPS/SCOTT SUMMER,34
SPIDER-MAN/PETER PAR,"KATZENBERG, NICK",34
FIXER II/PAUL NORBER,CITIZEN V II/HELMUT ,34
SKIDS/SALLY BLEVINS,BEAST/HENRY &HANK& P,34
ENCHANTRESS/AMORA/HE,CAPTAIN AMERICA,34
THING/BENJAMIN J. GR,PUPPET MASTER/PHILLI,34
RAZA LONGKNIFE,MAM'SELLE HEPZIBAH,34
PROFESSOR X/CHARLES ,VISION ,34
SHA SHAN,"THOMPSON, EUGENE FLA",34
ROGUE /,FORGE,34
CANNONBALL II/SAM GU,BISHOP /,34
SKIDS/SALLY BLEVINS,MARVEL GIRL/JEAN GRE,34
"JARVIS, EDWIN ",THING/BENJAMIN J. GR,34
QUASAR III/WENDELL V,"BALLANTINE, KAYLA",34
SPITFIRE/LADY JACQUE,SUB-MARINER/NAMOR MA,34
RICTOR/JULIO ESTEBAN,CYCLOPS/SCOTT SUMMER,34
"CUSHING, KATE","ROBERTSON, JOE",34
MAKKARI/MIKE KHARY/I,THENA,34
VIZIER,LOKI [ASGARDIAN],34
HUMAN TORCH/JOHNNY S,SANDMAN/WILLIAM BAKE,34
FIREFIST/RUSTY COLLI,RICTOR/JULIO ESTEBAN,34
ICEMAN/ROBERT BOBBY ,BANSHEE/SEAN CASSIDY,34
SPIDER-MAN/PETER PAR,"KAFKA, DR. ASHLEY",34
"BANNER, BETTY ROSS T","JONES, MARLO CHANDLE",34
CAPTAIN AMERICA,NAMORITA/NITA PRENTI,34
THING/BENJAMIN J. GR,TIGRA/GREER NELSON,34
CALIBAN/,CYCLOPS/SCOTT SUMMER,34
NOVA/RICHARD RIDER,TURBO II (A)/MICHIKO,34
THOR/DR. DONALD BLAK,CRYSTAL [INHUMAN],34
SCARLET WITCH/WANDA ,PHARAOH RAMA-TUT,34
LYJA LAZERFIST [SKRU,SHE-HULK/JENNIFER WA,34
SHE-HULK/JENNIFER WA,DR. DOOM/VICTOR VON ,34
SCREAMING MIMI/MELIS,CITIZEN V III/DALLAS,34
MOONSTONE II/KARLA S,CITIZEN V III/DALLAS,34
"ROSS, GEN. THADDEUS ",LEADER/SAM STERNS,34
TIGRA/GREER NELSON,SHE-HULK/JENNIFER WA,34
"WOLFE, SARA",CLEA,34
CITIZEN V II/HELMUT ,CAPTAIN AMERICA,33
VISION ,JOCASTA,33
POWER MAN/ERIK JOSTE,CITIZEN V III/DALLAS,33
BEAST/HENRY &HANK& P,FORGE,33
"HARKER, QUINCY","DRAKE, FRANKLIN",33
SHE-HULK/JENNIFER WA,ROGUE /,33
GALACTUS/GALAN,THOR/DR. DONALD BLAK,33
CAPTAIN MARVEL II/MO,TIGRA/GREER NELSON,33
MEPHISTO,SILVER SURFER/NORRIN,33
MOCKINGBIRD/DR. BARB,SHE-HULK/JENNIFER WA,33
NORTHSTAR/JEAN-PAUL ,BOX/ROGER BOCHS,33
SWORDSMAN/JACQUES DU,CAPTAIN AMERICA,33
MARVEL GIRL/JEAN GRE,"MADDICKS, ARTHUR ART",33
SASQUATCH/WALTER LAN,WILD CHILD/KYLE GIBN,33
FIREFIST/RUSTY COLLI,"MADDICKS, ARTHUR ART",33
"FURY, COL. NICHOLAS ",THOR/DR. DONALD BLAK,33
MAGNETO/MAGNUS/ERIC ,WASP/JANET VAN DYNE ,33
"WOO, JIMMY","DUGAN, TIMOTHY ALOYI",33
MOONSTONE II/KARLA S,CHARCOAL/CHARLIE BUR,33
CALIBAN/,MARVEL GIRL/JEAN GRE,33
"MACTAGGERT, MOIRA KI",ANGEL/WARREN KENNETH,33
JUBILEE/JUBILATION L,FORGE,33
GARGOYLE II/ISAAC CH,DR. STRANGE/STEPHEN ,33
CYCLOPS/SCOTT SUMMER,CORSAIR,33
ICEMAN/ROBERT BOBBY ,HULK/DR. ROBERT BRUC,33
SKIDS/SALLY BLEVINS,"MADDICKS, ARTHUR ART",33
VISION ,ULTRON,33
BLACK WIDOW/NATASHA ,INVISIBLE WOMAN/SUE ,33
PUMA/THOMAS FIREHEAR,SPIDER-MAN/PETER PAR,33
SWORDSMAN/JACQUES DU,THOR/DR. DONALD BLAK,33
KRISTOFF/KRISTOFF VE,THING/BENJAMIN J. GR,33
IRON MAN/TONY STARK ,WOLVERINE/LOGAN ,33
MR. FANTASTIC/REED R,TIGRA/GREER NELSON,33
ICEMAN/ROBERT BOBBY ,THOR/DR. DONALD BLAK,33
CAPTAIN AMERICA,"STANKOWICZ, FABIAN",33
VOLSTAGG,HELA [ASGARDIAN],33
ABSORBING MAN/CARL C,THOR/DR. DONALD BLAK,33
THOR/DR. DONALD BLAK,WRECKER III/DIRK GAR,33
PUCK/EUGENE MILTON J,BOX/ROGER BOCHS,33
"FURY, COL. NICHOLAS ",HULK/DR. ROBERT BRUC,33
WASP/JANET VAN DYNE ,ULTRON,33
"HARKER, QUINCY","VAN HELSING, RACHEL",33
MIRAGE II/DANIELLE M,SHADOWCAT/KATHERINE ,33
QUASAR III/WENDELL V,HAWK,33
DR. DOOM/VICTOR VON ,HAWK,33
AURORA/JEANNE-MARIE ,BOX/ROGER BOCHS,33
SHAMAN/MICHAEL TWOYO,DIAMOND LIL/LILLIAN ,33
BUCKY/BUCKY BARNES,SUB-MARINER/NAMOR MA,33
FORGE,PSYLOCKE/ELISABETH B,33
ANT-MAN/DR. HENRY J.,ULTRON,33
"ROBERTSON, JOE","ROBERTSON, MARTHA",33
FIREFIST/RUSTY COLLI,ICEMAN/ROBERT BOBBY ,33
MOONDRAGON/HEATHER D,HERCULES [GREEK GOD],33
ANGEL/WARREN KENNETH,"HODGE, CAMERON",33
JUSTICE II/VANCE AST,TURBO II (A)/MICHIKO,33
SHE-HULK/JENNIFER WA,DR. STRANGE/STEPHEN ,33
CANNONBALL II/SAM GU,NIGHTCRAWLER/KURT WA,33
MOONDRAGON/HEATHER D,"NORRISS, SISTER BARB",33
HOGUN [ASGARDIAN],HELA [ASGARDIAN],33
ULTRON,IRON MAN/TONY STARK ,33
ICEMAN/ROBERT BOBBY ,"NORRISS, SISTER BARB",33
HAWK,FALCON/SAM WILSON,33
INVISIBLE WOMAN/SUE ,WIZARD/BENTLEY WITTM,33
SHE-HULK/JENNIFER WA,"RICHARDS, FRANKLIN B",33
"TILBY, TRISH/PATRICI",CYCLOPS/SCOTT SUMMER,33
"FURY, COL. NICHOLAS ",SPIDER-MAN/PETER PAR,33
HUMAN TORCH/JOHNNY S,CAPTAIN MARVEL II/MO,33
"FURY, COL. NICHOLAS ",VISION ,33
THING/BENJAMIN J. GR,SANDMAN/WILLIAM BAKE,33
STORM/ORORO MUNROE S,WONDER MAN/SIMON WIL,33
SPIDER-MAN/PETER PAR,"STACY, CAPT. GEORGE",33
"HUDSON, HEATHER",PATHWAY/LAURA DEAN,33
FORGE,MYSTIQUE/RAVEN DARKH,33
BEAST/HENRY &HANK& P,CRYSTAL [INHUMAN],33
"SITWELL, JASPER",MADAME MASQUE/GIULIE,33
SPEEDBALL/ROBBIE BAL,SILHOUETTE,33
"ROBERTSON, MARTHA",SPIDER-MAN/PETER PAR,33
SERSI/SYLVIA,CRYSTAL [INHUMAN],33
PENANCE/MONET ST. CR,M,33
PERSUASION/KARA KILL,PATHWAY/LAURA DEAN,33
WOLFSBANE/RAHNE SINC,ROGUE /,33
CYCLOPS/SCOTT SUMMER,"MADDICKS, ARTHUR ART",33
HAWK,WOLVERINE/LOGAN ,33
"COWEN, BUCK",WEREWOLF BY NIGHT/JA,32
"STACY, ARTHUR",SPIDER-MAN/PETER PAR,32
"NORRISS, SISTER BARB",ANGEL/WARREN KENNETH,32
"LUBENSKI, NATE","WATSON-PARKER, MARY ",32
"JACKSON, STEVE","ROM, SPACEKNIGHT",32
GARGOYLE II/ISAAC CH,ANGEL/WARREN KENNETH,32
PUNISHER II/FRANK CA,DAREDEVIL/MATT MURDO,32
QUICKSILVER/PIETRO M,MULTIPLE MAN/JAMES A,32
CYCLOPS/SCOTT SUMMER,WOLFSBANE/RAHNE SINC,32
"RICHARDS, FRANKLIN B",THOR/DR. DONALD BLAK,32
"JARVIS, EDWIN ",STARFOX/EROS,32
GARGOYLE II/ISAAC CH,HELLSTORM/DAIMON HEL,32
CAPTAIN MARVEL/CAPTA,SCARLET WITCH/WANDA ,32
SASQUATCH/WALTER LAN,HULK/DR. ROBERT BRUC,32
ROGUE /,PHOENIX III/RACHEL S,32
MIRAGE II/DANIELLE M,SIRYN/THERESA ROURKE,32
ANT-MAN/DR. HENRY J.,ICEMAN/ROBERT BOBBY ,32
THOR/DR. DONALD BLAK,LORELEI II/MELODI [A,32
JUBILEE/JUBILATION L,ANGEL/WARREN KENNETH,32
COLOSSUS II/PETER RA,"WISDOM, PETER",32
HAWK,CYCLOPS/SCOTT SUMMER,32
WOLVERINE/LOGAN ,HERCULES [GREEK GOD],32
BISHOP /,COLOSSUS II/PETER RA,32
HILDEGARDE [ASGARDIA,SIF,32
NOVA/RICHARD RIDER,HUMAN TORCH/JOHNNY S,32
SANDMAN/WILLIAM BAKE,MR. FANTASTIC/REED R,32
"GRANT, GLORIA GLORY","LEEDS, BETTY BRANT",32
IRON MAN/TONY STARK ,"ERWIN, CLYTEMNESTRA",32
ROGUE /,INVISIBLE WOMAN/SUE ,32
SASQUATCH/WALTER LAN,SNOWBIRD/NARYA/ANNE ,32
CANNONBALL II/SAM GU,"MACTAGGERT, MOIRA KI",32
LOKI [ASGARDIAN],CAPTAIN AMERICA,32
SILVER SURFER/NORRIN,THOR/DR. DONALD BLAK,32
FRIGGA,FANDRAL [ASGARDIAN],32
CYPHER/DOUG RAMSEY,CAPTAIN BRITAIN/BRIA,32
"KINCAID, DR. JANE FO",LOKI [ASGARDIAN],32
HELA [ASGARDIAN],FANDRAL [ASGARDIAN],32
MOONDRAGON/HEATHER D,DRAX/ARTHUR DOUGLAS,32
HAMMERHEAD,SPIDER-MAN/PETER PAR,32
"JAMESON, J. JONAH",CAPTAIN AMERICA,32
"URICH, BEN",KINGPIN/WILSON FISK,32
ANGEL/WARREN KENNETH,IRON MAN/TONY STARK ,32
PHOENIX III/RACHEL S,COLOSSUS II/PETER RA,32
DR. STRANGE/STEPHEN ,WOLVERINE/LOGAN ,32
GARGOYLE II/ISAAC CH,MOONDRAGON/HEATHER D,32
COLOSSUS II/PETER RA,WASP/JANET VAN DYNE ,32
GARGOYLE II/ISAAC CH,HELLCAT/PATSY WALKER,32
ROGUE /,MR. FANTASTIC/REED R,32
SASQUATCH/WALTER LAN,PATHWAY/LAURA DEAN,32
CITIZEN V II/HELMUT ,POWER MAN/ERIK JOSTE,32
"MASTERS, ALICIA REIS",PUPPET MASTER/PHILLI,32
WOLFSBANE/RAHNE SINC,"SUMMERS, NATHAN CHRI",32
"WATSON-PARKER, MARY ",VENOM/EDDIE BROCK,32
"CANTOR, VERA",BEAST/HENRY &HANK& P,32
BLACK WIDOW/NATASHA ,THUNDERSTRIKE/ERIC K,32
"JAMESON, COL. JOHN ","WATSON-PARKER, MARY ",32
BLACK PANTHER/T'CHAL,SHE-HULK/JENNIFER WA,32
THUNDERBIRD II/JAMES,FERAL/MARIA CALLASAN,32
DR. STRANGE/STEPHEN ,HELLSTORM/DAIMON HEL,32
"TARR, BLACK JACK",FU MANCHU,32
MARVEL GIRL/JEAN GRE,"MACTAGGERT, MOIRA KI",32
PSYLOCKE/ELISABETH B,SHADOWCAT/KATHERINE ,32
BEAST/HENRY &HANK& P,"MADDICKS, ARTHUR ART",32
QUICKSILVER/PIETRO M,HAVOK/ALEX SUMMERS ,32
"NELSON, FRANKLIN FOG","URICH, BEN",32
NAMORITA/NITA PRENTI,INVISIBLE WOMAN/SUE ,32
WASP/JANET VAN DYNE ,JOCASTA,32
POLARIS/LORNA DANE,QUICKSILVER/PIETRO M,32
SPIDER-MAN CLONE/BEN,"TRAINER, DR. SEWARD",31
WASP/JANET VAN DYNE ,ANGEL/WARREN KENNETH,31
NIGHTCRAWLER/KURT WA,"WISDOM, PETER",31
"KATZENBERG, NICK","WATSON-PARKER, MARY ",31
FALCON/SAM WILSON,BEAST/HENRY &HANK& P,31
SIF,BETA RAY BILL,31
MANDARIN,IRON MAN IV/JAMES R.,31
"CAGE, LUKE/CARL LUCA",HULK/DR. ROBERT BRUC,31
RICTOR/JULIO ESTEBAN,SKIDS/SALLY BLEVINS,31
DRAX/ARTHUR DOUGLAS,PIP/PRINCE GOFERN,31
NIGHT THRASHER/DUANE,"CHORD, ANDREW",31
SKIDS/SALLY BLEVINS,ICEMAN/ROBERT BOBBY ,31
STRONG GUY/GUIDO CAR,STORM/ORORO MUNROE S,31
BLACK WIDOW/NATASHA ,USAGENT/CAPTAIN JOHN,31
HAWK,PROFESSOR X/CHARLES ,31
COLOSSUS II/PETER RA,VISION ,31
TALISMAN II/ELIZABET,NORTHSTAR/JEAN-PAUL ,31
QUICKSILVER/PIETRO M,MAGNETO/MAGNUS/ERIC ,31
PUCK/EUGENE MILTON J,WOLVERINE/LOGAN ,31
STRONG GUY/GUIDO CAR,QUICKSILVER/PIETRO M,31
BEETLE/ABNER RONALD ,CITIZEN V II/HELMUT ,31
NIGHT THRASHER/DUANE,RAGE/ELVIN DARYL HAL,31
"HODGE, CAMERON",BEAST/HENRY &HANK& P,31
THANOS,CAPTAIN AMERICA,31
CANNONBALL II/SAM GU,FERAL/MARIA CALLASAN,31
RAGE/ELVIN DARYL HAL,JUSTICE II/VANCE AST,31
"STACY, CAPT. GEORGE","STACY, GWEN",31
LEADER/SAM STERNS,"JONES, RICHARD MILHO",31
"HUDSON, HEATHER",MANIKIN/DR. WHITMAN ,31
QUICKSILVER/PIETRO M,BINARY/CAROL DANVERS,31
"SUMMERS, MADELYNE MA",HAVOK/ALEX SUMMERS ,31
COLOSSUS II/PETER RA,WONDER MAN/SIMON WIL,31
MOONDRAGON/HEATHER D,ANT-MAN/DR. HENRY J.,31
DR. DOOM/VICTOR VON ,VISION ,31
THOR/DR. DONALD BLAK,ULTRON,31
"MADDICKS, ARTHUR ART",ICEMAN/ROBERT BOBBY ,31
"DUGAN, TIMOTHY ALOYI","SITWELL, JASPER",31
"THOMPSON, EUGENE FLA","STACY, GWEN",31
STORM/ORORO MUNROE S,THOR/DR. DONALD BLAK,31
ANGEL/WARREN KENNETH,"TILBY, TRISH/PATRICI",31
SHE-HULK/JENNIFER WA,NOVA/RICHARD RIDER,31
"NORRISS, SISTER BARB","NORRISS, JACK",31
ICEMAN/ROBERT BOBBY ,SPIDER-MAN/PETER PAR,31
HEIMDALL [ASGARDIAN],KARNILLA [ASGARDIAN],31
ANCIENT ONE,CLEA,31
JUSTICE II/VANCE AST,WONDER MAN/SIMON WIL,31
THOR/DR. DONALD BLAK,BINARY/CAROL DANVERS,31
INVISIBLE WOMAN/SUE ,SASQUATCH/WALTER LAN,31
SUB-MARINER/NAMOR MA,"JARVIS, EDWIN ",31
NORTHSTAR/JEAN-PAUL ,WILD CHILD/KYLE GIBN,31
CYCLOPS/SCOTT SUMMER,STRONG GUY/GUIDO CAR,31
WONDER MAN/SIMON WIL,JOCASTA,31
FRIGGA,SIF,31
STORM/ORORO MUNROE S,MIRAGE II/DANIELLE M,31
IRON MAN IV/JAMES R.,"ERWIN, CLYTEMNESTRA",31
HOBGOBLIN II/RODERIC,SPIDER-MAN/PETER PAR,31
"FURY, COL. NICHOLAS ",HUMAN TORCH/JOHNNY S,31
SPITFIRE/LADY JACQUE,CAPTAIN AMERICA,31
"JACKSON, STEVE",STARSHINE II/BRANDY ,31
QUICKSILVER/PIETRO M,USAGENT/CAPTAIN JOHN,31
MYSTIQUE/RAVEN DARKH,WOLVERINE/LOGAN ,31
CYPHER/DOUG RAMSEY,KARMA/XI'AN COY MANH,31
HUMAN TORCH/JOHNNY S,QUASAR III/WENDELL V,31
WILD CHILD/KYLE GIBN,PUCK/EUGENE MILTON J,31
SCREAMING MIMI/MELIS,CITIZEN V II/HELMUT ,31
"PARKER, MAY",GREEN GOBLIN/NORMAN ,31
FORGE,GAMBIT/REMY LEBEAU ,31
MARVEL GIRL/JEAN GRE,VISION ,31
STARFOX/EROS,IRON MAN/TONY STARK ,30
SHAMAN/MICHAEL TWOYO,WOLVERINE/LOGAN ,30
MOON KNIGHT/MARC SPE,WONDER MAN/SIMON WIL,30
NIGHTCRAWLER/KURT WA,MIRAGE II/DANIELLE M,30
SASQUATCH/WALTER LAN,MANIKIN/DR. WHITMAN ,30
"WILSON, JIM",HULK/DR. ROBERT BRUC,30
THANOS,SILVER SURFER/NORRIN,30
ROGUE /,MAGIK/ILLYANA RASPUT,30
WIZARD/BENTLEY WITTM,TRAPSTER/PETER PETRU,30
GEE/ALEX POWER,TURBO II (A)/MICHIKO,30
HAWK,MOONDRAGON/HEATHER D,30
"JAMESON, J. JONAH","MERCADO, JOY",30
HAWK,"GYRICH, HENRY PETER",30
"RODGERS, MARIANNE",IRON MAN/TONY STARK ,30
MAM'SELLE HEPZIBAH,LILANDRA NERAMANI [S,30
SPIDER-MAN/PETER PAR,KAINE,30
NIGHTCRAWLER/KURT WA,THING/BENJAMIN J. GR,30
VOLSTAGG,"KINCAID, DR. JANE FO",30
"SUMMERS, NATHAN CHRI",FERAL/MARIA CALLASAN,30
SPIDER-MAN/PETER PAR,"DEWOLFF, JEAN",30
SPEEDBALL II/DARRION,JUSTICE II/VANCE AST,30
WARLOCK III,KARMA/XI'AN COY MANH,30
DAYTRIPPER/AMANDA SE,SHADOWCAT/KATHERINE ,30
MAXIMUS [INHUMAN],LOCKJAW [INHUMAN],30
WOLVERINE/LOGAN ,STRONG GUY/GUIDO CAR,30
WASP/JANET VAN DYNE ,TRIATHLON/DELROY GAR,30
RICTOR/JULIO ESTEBAN,ICEMAN/ROBERT BOBBY ,30
"JAMESON, J. JONAH","ROBERTSON, MARTHA",30
SHADOWCAT/KATHERINE ,SUNSPOT/ROBERTO DACO,30
THING/BENJAMIN J. GR,SASQUATCH/WALTER LAN,30
RICTOR/JULIO ESTEBAN,ANGEL/WARREN KENNETH,30
FALCON/SAM WILSON,"CARTER, PEGGY",30
FORGE,"COOPER, DR. VALERIE",30
KRISTOFF/KRISTOFF VE,HUMAN TORCH/JOHNNY S,30
"MACTAGGERT, MOIRA KI",HAVOK/ALEX SUMMERS ,30
HAWK,JOLT/HALLIE TAKAHAMA,30
IRON MAN/TONY STARK ,TRIATHLON/DELROY GAR,30
HUMAN TORCH/JOHNNY S,TRAPSTER/PETER PETRU,30
LILANDRA NERAMANI [S,RAZA LONGKNIFE,30
DAREDEVIL/MATT MURDO,"PETROVITCH, IVAN",30
COLOSSUS II/PETER RA,CORSAIR,30
STRONG GUY/GUIDO CAR,"COOPER, DR. VALERIE",30
WASP/JANET VAN DYNE ,ICEMAN/ROBERT BOBBY ,30
NOVA II/FRANKIE RAYE,MR. FANTASTIC/REED R,30
"ROSS, GEN. THADDEUS ","QUARTERMAIN, CLAY",30
"SUMMERS, NATHAN CHRI",COLOSSUS II/PETER RA,30
POLARIS/LORNA DANE,MYSTIQUE/RAVEN DARKH,30
BANSHEE/SEAN CASSIDY,GAMBIT/REMY LEBEAU ,30
CAPTAIN MARVEL II/MO,SPIDER-MAN/PETER PAR,30
�GAMORA,DRAX/ARTHUR DOUGLAS,30
CH'OD,LILANDRA NERAMANI [S,30
CORSAIR,NIGHTCRAWLER/KURT WA,30
BLACK CAT/FELICIA HA,"PARKER, MAY",30
POWER MAN/ERIK JOSTE,CHARCOAL/CHARLIE BUR,30
SHE-HULK/JENNIFER WA,SASQUATCH/WALTER LAN,30
CYPHER/DOUG RAMSEY,MAGNETO/MAGNUS/ERIC ,30
PHOENIX III/RACHEL S,STORM/ORORO MUNROE S,30
WONDER MAN/SIMON WIL,DR. STRANGE/STEPHEN ,30
HOGUN [ASGARDIAN],"KINCAID, DR. JANE FO",30
"COOPER, DR. VALERIE",MYSTIQUE/RAVEN DARKH,30
SHATTERSTAR II/GAVEE,FERAL/MARIA CALLASAN,30
STORM/ORORO MUNROE S,LOCKHEED,30
THUNDERSTRIKE/ERIC K,BLOODAXE/JACKIE LUKU,30
HERCULES [GREEK GOD],NOVA/RICHARD RIDER,30
SILVER SURFER/NORRIN,DRAX/ARTHUR DOUGLAS,30
GHOST RIDER III/DAN ,GHOST RIDER II/JOHNN,30
"BRIDGE, GEORGE WASHI","SUMMERS, NATHAN CHRI",30
SASQUATCH/WALTER LAN,CAPTAIN AMERICA,30
"KINCAID, DR. JANE FO",FANDRAL [ASGARDIAN],30
"WISDOM, PETER",CYPHER/DOUG RAMSEY,30
MR. FANTASTIC/REED R,BLACK WIDOW/NATASHA ,30
PROFESSOR X/CHARLES ,SHE-HULK/JENNIFER WA,30
TIGRA/GREER NELSON,INVISIBLE WOMAN/SUE ,30
